"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000215570",87.8333333333333,108.142857142857,12.6175817202525,2.59475182838412e-06,0.00982171922136402,2.27744331611713
"ENSG00000198598",-34.1666666666667,34.8571428571429,-13.1358983848599,2.68975932962888e-06,0.00982171922136402,2.13429460490626
"ENSG00000146834",-43,74.5714285714286,-11.721758324933,4.39720055008456e-06,0.00982171922136402,2.11458403966233
"ENSG00000175354",47.6666666666667,87.4285714285714,11.5958653716378,4.74941405446931e-06,0.00982171922136402,2.08939907634929
"ENSG00000137193",344.75,281,11.4163724062536,5.30792551268223e-06,0.00982171922136402,2.05241677612854
"ENSG00000145685",53.9166666666667,42.8571428571429,12.5755854859441,3.67436056864743e-06,0.00982171922136402,2.04319511396124
"ENSG00000006025",-9.75,15.5714285714286,-11.2319490817666,5.96012516694682e-06,0.00982171922136402,2.01305067653773
"ENSG00000180771",-16.6666666666667,22.8571428571429,-11.264338625321,6.05065099113754e-06,0.00982171922136402,1.99436261208586
"ENSG00000164442",320.083333333333,225.428571428571,11.033171597872,7.42430006774311e-06,0.0107124400755236,1.90162335581646
"ENSG00000082269",-13.3333333333333,16.2857142857143,-10.2294690057389,1.20656200604897e-05,0.0144359321709339,1.73963718766383
"ENSG00000164251",13.75,14.1428571428571,10.2013799636843,1.29702663884351e-05,0.0144359321709339,1.69311873149536
"ENSG00000114982",-14.9166666666667,44.8571428571429,-9.85407190882208,1.5015385586305e-05,0.0144359321709339,1.66828486078484
"ENSG00000197381",11.8333333333333,15.5714285714286,9.83255353419567,1.52470848251161e-05,0.0144359321709339,1.66209500428816
"ENSG00000118922",-8.83333333333333,6.71428571428571,-9.8037856930052,1.55631488058736e-05,0.0144359321709339,1.65377642176644
"ENSG00000066455",13.5,32.2857142857143,9.65894259545135,1.72707218106923e-05,0.0149518395622433,1.61112675319074
"ENSG00000158481",-16,13.1428571428571,-9.71104796064765,2.13936247340794e-05,0.0171544942585967,1.43982961317408
"ENSG00000152380",6.58333333333333,9.57142857142857,9.056790767155,2.70262937763713e-05,0.0171544942585967,1.419185773882
"ENSG00000188042",-252.416666666667,179.571428571429,-9.51846446286213,2.36733349732211e-05,0.0171544942585967,1.40979846009926
"ENSG00000235863",12.5833333333333,16.1428571428571,9.09810532375279,2.84011822053965e-05,0.0171544942585967,1.37220613744734
"ENSG00000185163",-16.6666666666667,35.8571428571429,-8.89653954884501,3.06211251790327e-05,0.0171544942585967,1.36274401481313
"ENSG00000151914",-11.0833333333333,12,-9.01918856506906,2.97191798788385e-05,0.0171544942585967,1.35658991133147
"ENSG00000108950",164.333333333333,73.4285714285714,9.75474970145117,2.40813714290174e-05,0.0171544942585967,1.34237053585983
"ENSG00000049089",-26,18.8571428571429,-9.3704651341192,2.73806833147679e-05,0.0171544942585967,1.33611129247842
"ENSG00000180776",74.5,102.428571428571,8.83640045684668,3.42041060803326e-05,0.0171544942585967,1.29333184935087
"ENSG00000197483",-13.75,27.8571428571429,-8.65265286969077,3.71576116752274e-05,0.0171544942585967,1.27325293526848
"ENSG00000133142",-7.41666666666667,12.5714285714286,-8.61588499889498,3.81331778380312e-05,0.0171544942585967,1.26211088649204
"ENSG00000123815",19.5833333333333,37.1428571428571,8.7067666612949,3.92267853086262e-05,0.0171544942585967,1.21990061037887
"ENSG00000139437",10.1666666666667,29.8571428571429,8.50037991626149,4.18344354978703e-05,0.0171544942585967,1.21841851548086
"ENSG00000071462",-19.1666666666667,48.2857142857143,-8.48923933832935,4.22122303788031e-05,0.0171544942585967,1.21414581958848
"ENSG00000135838",127.25,139.285714285714,8.47130729394362,4.28283980506613e-05,0.0171544942585967,1.20724653530855
"ENSG00000164941",22.3333333333333,50.5714285714286,8.46937499798887,4.37601381152327e-05,0.0171544942585967,1.19137239403619
"ENSG00000196943",-19.8333333333333,58,-8.39785765975747,4.54596726102077e-05,0.0171544942585967,1.17870284457423
"ENSG00000090054",38.5833333333334,74.2857142857143,8.42308601583214,4.72353633800769e-05,0.0171544942585967,1.14395294219896
"ENSG00000185499",5.41666666666667,3.57142857142857,8.21848583051733,5.26818201985987e-05,0.0174617503877124,1.10703153917215
"ENSG00000136630",65.4166666666667,89.2857142857143,8.54502856644119,4.85136168366883e-05,0.0171544942585967,1.09636107652542
"ENSG00000188157",-23.5,24.4285714285714,-8.61198270643071,4.80962259009119e-05,0.0171544942585967,1.08785971239892
"ENSG00000150337",74.3333333333333,58.8571428571429,8.68609705775211,4.71899632494109e-05,0.0171544942585967,1.08554519712727
"ENSG00000123358",-312.416666666667,260.857142857143,-8.33994992314814,5.24530495022406e-05,0.0174617503877124,1.08323999274592
"ENSG00000111052",43.5,54.1428571428571,8.59109545726964,4.88769665461326e-05,0.0171544942585967,1.08042373693293
"ENSG00000182749",-11.6666666666667,16,-8.23075404111126,5.68703857500958e-05,0.0174617503877124,1.04621232393242
"ENSG00000107882",12.0833333333333,34.4285714285714,8.06236242354326,6.00259361028383e-05,0.0174617503877124,1.04230135359255
"ENSG00000167065",9,12.8571428571429,8.01843499331322,6.22942407278133e-05,0.0174617503877124,1.02368202123935
"ENSG00000240230",-16.0833333333333,38.8571428571429,-7.98900861880851,6.4067518638371e-05,0.0174617503877124,1.00872385128764
